,year,roundType,amount
0,2019,Other,4591987.300925926
1,2019,Seed,1633169.8942731277
2,2019,Series A,16712926.234042553
3,2019,Series B,28655329.02222222
4,2019,Series C,31839422.727272727
5,2019,Series D+,99261070.83333333
6,2020,Other,5779125.010152284
7,2020,Seed,1798664.391509434
8,2020,Series A,11112212.896551725
9,2020,Series B,25840755.84
10,2020,Series C,41186071.428571425
11,2020,Series D+,80677992.5
12,2021,Other,12300091.303501945
13,2021,Seed,3048912.0
14,2021,Series A,17446857.12962963
15,2021,Series B,59180756.8627451
16,2021,Series C,129768634.72222222
17,2021,Series D+,203945757.14285713
18,2022,Other,19433581.67226891
19,2022,Seed,3976754.64375
20,2022,Series A,19693065.45882353
21,2022,Series B,48162592.741935484
22,2022,Series C,140619823.33333334
23,2022,Series D+,217738170.0
24,2023,Other,23592677.591836736
25,2023,Seed,5836519.323076923
26,2023,Series A,16300637.551020408
27,2023,Series B,43980872.69565217
28,2023,Series C,96084425.0
29,2023,Series D+,78720566.66666667
30,2024,Other,34263766.428571425
31,2024,Seed,4988761.946666666
32,2024,Series A,18433320.739130434
33,2024,Series B,43886403.14285714
34,2024,Series C,57764975.0
35,2024,Series D+,519666666.6666667
36,2025,Other,45591666.666666664
37,2025,Seed,3897144.1428571427
38,2025,Series A,15500000.0
39,2025,Series B,66500000.0
40,2025,Series C,28633333.333333332
