,year,roundType,id,amount
0,2019,Other,216,991869257
1,2019,Seed,227,370729566
2,2019,Series A,47,785507533
3,2019,Series B,45,1289489806
4,2019,Series C,11,350233650
5,2019,Series D+,12,1191132850
6,2020,Other,197,1138487627
7,2020,Seed,212,381316851
8,2020,Series A,87,966762522
9,2020,Series B,25,646018896
10,2020,Series C,14,576605000
11,2020,Series D+,8,645423940
12,2021,Other,257,3161123465
13,2021,Seed,253,771374736
14,2021,Series A,108,1884260570
15,2021,Series B,51,3018218600
16,2021,Series C,18,2335835425
17,2021,Series D+,14,2855240600
18,2022,Other,119,2312596219
19,2022,Seed,160,636280743
20,2022,Series A,85,1673910564
21,2022,Series B,31,1493040375
22,2022,Series C,15,2109297350
23,2022,Series D+,7,1524167190
24,2023,Other,98,2312082404
25,2023,Seed,65,379373756
26,2023,Series A,49,798731240
27,2023,Series B,23,1011560072
28,2023,Series C,8,768675400
29,2023,Series D+,6,472323400
30,2024,Other,98,3357849110
31,2024,Seed,75,374157146
32,2024,Series A,46,847932754
33,2024,Series B,21,921614466
34,2024,Series C,8,462119800
35,2024,Series D+,6,3118000000
36,2025,Other,6,273550000
37,2025,Seed,7,27280009
38,2025,Series A,7,108500000
39,2025,Series B,4,266000000
40,2025,Series C,3,85900000
