,headquarters,primaryTag,amount,lat,lon,num_deals
1584,toronto,ai,3186345507,43.6511,-79.347,963
1372,toronto,ai,3186345507,43.6511,-79.347,963
1516,toronto,ai,3186345507,43.6511,-79.347,963
1420,toronto,ai,3186345507,43.6511,-79.347,963
1416,toronto,ai,3186345507,43.6511,-79.347,963
1520,toronto,ai,3186345507,43.6511,-79.347,963
1412,toronto,ai,3186345507,43.6511,-79.347,963
1284,toronto,ai,3186345507,43.6511,-79.347,963
1408,toronto,ai,3186345507,43.6511,-79.347,963
1524,toronto,ai,3186345507,43.6511,-79.347,963
1404,toronto,ai,3186345507,43.6511,-79.347,963
1400,toronto,ai,3186345507,43.6511,-79.347,963
1528,toronto,ai,3186345507,43.6511,-79.347,963
1396,toronto,ai,3186345507,43.6511,-79.347,963
1392,toronto,ai,3186345507,43.6511,-79.347,963
1532,toronto,ai,3186345507,43.6511,-79.347,963
1388,toronto,ai,3186345507,43.6511,-79.347,963
1484,toronto,ai,3186345507,43.6511,-79.347,963
1536,toronto,ai,3186345507,43.6511,-79.347,963
1380,toronto,ai,3186345507,43.6511,-79.347,963
1376,toronto,ai,3186345507,43.6511,-79.347,963
1424,toronto,ai,3186345507,43.6511,-79.347,963
1428,toronto,ai,3186345507,43.6511,-79.347,963
1512,toronto,ai,3186345507,43.6511,-79.347,963
1460,toronto,ai,3186345507,43.6511,-79.347,963
1480,toronto,ai,3186345507,43.6511,-79.347,963
1488,toronto,ai,3186345507,43.6511,-79.347,963
1476,toronto,ai,3186345507,43.6511,-79.347,963
1472,toronto,ai,3186345507,43.6511,-79.347,963
1492,toronto,ai,3186345507,43.6511,-79.347,963
1468,toronto,ai,3186345507,43.6511,-79.347,963
1464,toronto,ai,3186345507,43.6511,-79.347,963
1496,toronto,ai,3186345507,43.6511,-79.347,963
1456,toronto,ai,3186345507,43.6511,-79.347,963
1432,toronto,ai,3186345507,43.6511,-79.347,963
1500,toronto,ai,3186345507,43.6511,-79.347,963
1452,toronto,ai,3186345507,43.6511,-79.347,963
1448,toronto,ai,3186345507,43.6511,-79.347,963
1504,toronto,ai,3186345507,43.6511,-79.347,963
1444,toronto,ai,3186345507,43.6511,-79.347,963
1440,toronto,ai,3186345507,43.6511,-79.347,963
1508,toronto,ai,3186345507,43.6511,-79.347,963
1436,toronto,ai,3186345507,43.6511,-79.347,963
1540,toronto,ai,3186345507,43.6511,-79.347,963
1384,toronto,ai,3186345507,43.6511,-79.347,963
1328,toronto,ai,3186345507,43.6511,-79.347,963
1368,toronto,ai,3186345507,43.6511,-79.347,963
1336,toronto,ai,3186345507,43.6511,-79.347,963
1300,toronto,ai,3186345507,43.6511,-79.347,963
