country,grant,pre-seed,"pre-seed, seed","pre-seed, seed, series a",seed,"seed, series a","seed, series a, series b","seed, series a, series b, series c","seed, series b","seed, series b, series c",series a,"series a, series b",series b,"series b, series c",series c,series d,series e,unknown
canada,8.0,27.0,21.0,10.0,125.0,23.0,15.0,5.0,6.0,0.0,47.0,8.0,23.0,0.0,10.0,0.0,0.0,217.0
china,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
france,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
hong kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
singapore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
the netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
united arab emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
united kingdom,0.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,26.0
unknown,0.0,6.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,29.0,0.0,0.0,119.0
usa,0.0,48.0,13.0,0.0,194.0,27.0,9.0,0.0,0.0,6.0,124.0,31.0,113.0,10.0,35.0,6.0,8.0,410.0
