,year,province,amount
0,2019,alberta,167843432
1,2019,british columbia,1565626179
2,2019,east coast,8221000
3,2019,ontario,2224649536
4,2019,other,244773468
5,2019,quebec,767849047
6,2020,alberta,305201107
7,2020,british columbia,964272054
8,2020,east coast,9379216
9,2020,ontario,1791655574
10,2020,other,33535960
11,2020,quebec,1250570925
12,2021,alberta,356673187
13,2021,british columbia,3983849875
14,2021,east coast,182183954
15,2021,ontario,7226400453
16,2021,other,382997825
17,2021,quebec,1893948102
18,2022,alberta,674998044
19,2022,british columbia,1265122133
20,2022,east coast,154527950
21,2022,ontario,5212568760
22,2022,other,142100000
23,2022,quebec,2299975554
24,2023,alberta,602500125
25,2023,british columbia,1154309600
26,2023,east coast,128084800
27,2023,ontario,2547248332
28,2023,other,93400000
29,2023,quebec,1217203415
30,2024,alberta,716688578
31,2024,british columbia,3177791511
32,2024,east coast,95446480
33,2024,ontario,3782550585
34,2024,other,104769800
35,2024,quebec,1204426322
