,investorName,total_funding,avg_funding,total_deals
25,accomplice,11932199,3977399.6666666665,3
126,bdc capital,1466682060,17460500.714285713,84
183,canadian business growth fund,148130000,21161428.57142857,7
257,d1 capital partners,15000000,7500000.0,2
337,export development canada,336972090,21060755.625,16
347,feddev,250000,250000.0,1
370,forum ventures,28199100,9399700.0,3
406,georgian,159075820,19884477.5,8
411,gic,13000000,6500000.0,2
424,golden ventures,833068040,24502001.17647059,34
508,innovate bc,4470000,2235000.0,2
513,inovia capital,325737888,11232340.965517242,29
524,investissement quebec,41633254,3469437.8333333335,12
584,l-spark,113950000,16278571.42857143,7
688,natural resources canada,50644,50644.0,1
824,roadmap capital,9250000,3083333.3333333335,3
871,sequoia capital,37343288,18671644.0,2
947,techstars,1119141164,32915916.588235293,34
951,temasek holdings,183900000,45975000.0,4
1057,y combinator,507897847,22082515.086956523,23
